Peak,Reporting_Limit,10-9-23-JI-01,10-9-23-JI-02,10-9-23-JI-03,10-9-23-JI-04,10-3-23-JI-05,UR-Tank,,,,,
"1,1-Dichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"2,2-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"cis-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
2-Butanone (MEK),1.8,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,9.5525,,,,,
Methyl acrylate,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Bromochloromethane,1,n.a./n.r.,0.0107,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Methacrylonitrile ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Tetrahydrofuran,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,49.3241,,,,,
Trichloromethane (chloroform),1,7.3979,40.0372,40.1379,43.2032,37.951,63.0649,,,,,
"1,1,1-Trichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Dibromofluoromethane [SS1],1,20.7408,21.066,20.6819,20.9672,20.2363,20.7001,,,,,
Pentafluorobenzene [IS1],1,20,20,20,20,20,20,,,,,
1-Chlorobutane (butyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Carbon tetrachloride ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,1-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Benzene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,2-Dichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,4-Difluorobenzene [IS2]",1,20,20,20,20,20,20,,,,,
Trichloroethene,1,n.a./n.r.,n.a./n.r.,0.0091,0.0089,0.0083,0.0066,,,,,
"1,2-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Dibromomethane ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Methyl methacrylate ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Bromodichloromethane,1,5.8607,15.3096,14.3678,16.6781,14.5524,10.7962,,,,,
2-Nitropropane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"cis-1,3-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
4-Methyl-2-pentanone (MIBK) ,1.8,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Toluene-d8 [SS2],1,20.2983,19.2744,19.3537,19.8682,19.602,20.3922,,,,,
Toluene,1,0.0696,0.0466,0.081,0.0642,0.057,0.0395,,,,,
"trans-1,3-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Ethyl methacrylate ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,1,2-Trichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Tetrachloroethene,1,0.0148,0.0134,0.0125,0.0109,0.0094,0.0082,,,,,
"1,3-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
2-Hexanone,1.8,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Dibromochloromethane,1,2.9912,4.6887,4.3569,5.639,4.724,3.3381,,,,,
"1,2-Dibromoethane (EDB)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Chlorobenzene-d5 [IS3],1,20,20,20,20,20,20,,,,,
Chlorobenzene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,1,1,2-Tetrachloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Ethylbenzene,1,n.a./n.r.,n.a./n.r.,0.0137,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
m/p-Xylene,1,0.045,0.0274,0.0228,0.0226,0.0216,0.022,,,,,
o-Xylene,1,0.0314,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Styrene,1,0.0329,0.0236,0.0203,n.a./n.r.,0.0163,0.0233,,,,,
Bromoform,1,0.1983,0.3563,0.3643,0.5133,0.3984,0.4159,,,,,
Isopropylbenzene (cumene) ,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
1-Bromo-4-fluorobenzene (BFB) [SS3],1,20.3644,20.1906,19.663,20.571,19.9259,19.8618,,,,,
Bromobenzene,1,0.0325,0.0261,0.0198,0.02,0.0129,0.0134,,,,,
"1,1,2,2-Tetrachloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,2,3-Trichloropropane (TCP)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"trans-1,4-Dichloro-2-butene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
n-Propylbenzene,1,0.0342,n.a./n.r.,0.0193,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
2-Chlorotoluene,1,0.027,0.0219,n.a./n.r.,0.0113,n.a./n.r.,n.a./n.r.,,,,,
"1,3,5-Trimethylbenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
4-Chlorotoluene,1,0.043,0.0355,0.0253,0.0226,0.0226,n.a./n.r.,,,,,
tert-Butylbenzene,1,0.0087,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Pentachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,2,4-Trimethylbenzene",1,0.0439,0.0328,0.0292,0.025,n.a./n.r.,n.a./n.r.,,,,,
1-Methylpropylbenzene (sec-butylbenzene),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,3-Dichlorobenzene",1,0.0619,0.0511,0.0346,0.0314,0.0287,0.0291,,,,,
4-Isopropyltoluene (p-cymene) ,1,0.024,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,4-Dichlorobenzene-d4 [IS4]",1,20,20,20,20,20,20,,,,,
"1,4-Dichlorobenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
n-Butylbenzene,1,0.051,0.043,0.0338,0.0268,0.0215,0.0221,,,,,
"1,2-Dichlorobenzene",1,0.0425,0.0409,0.0282,0.0232,0.0238,0.027,,,,,
Hexachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,2-Dibromo-3-chloropropane (DBCP)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
Nitrobenzene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,,,,,
"1,2,4-Trichlorobenzene",1,0.0732,0.0547,0.0437,0.0424,0.037,0.0354,,,,,
"Hexachloro-1,3-butadiene",1,0.0452,0.0345,0.0248,0.0245,0.016,0.019,,,,,
Naphthalene,1,0.0392,0.0335,0.0273,0.0253,0.0203,0.0217,,,,,
"1,2,3-Trichlorobenzene",1,0.0558,0.0446,0.0338,0.0294,0.0238,0.0248,,,,,
,,,,,,,,,,,,
