Peak,Reporting_Limit,09-22-KDP-2,09-22-KDP-1,10-02-KDP-1,10-02-KDP-2
Chlorobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,1,2-Tetrachloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Ethylbenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
m/p-Xylene,2,0.0386,0.0276,0.0405,n.a./n.r.
o-Xylene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Styrene,2,0.0382,0.0261,n.a./n.r.,n.a./n.r.
Bromoform,2,n.a./n.r.,n.a./n.r.,0.071,n.a./n.r.
Isopropylbenzene (cumene) ,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Bromo-4-fluorobenzene (BFB) [SS3],2,21.028,20.7949,20.618,21.4878
Bromobenzene,2,0.0457,0.0347,0.0367,0.0296
"1,1,2,2-Tetrachloroethane",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichloropropane (TCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"trans-1,4-Dichloro-2-butene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Propylbenzene,2,n.a./n.r.,0.0358,n.a./n.r.,n.a./n.r.
2-Chlorotoluene,2,0.036,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3,5-Trimethylbenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Chlorotoluene,2,0.0618,n.a./n.r.,0.0384,n.a./n.r.
tert-Butylbenzene,2,0.0207,n.a./n.r.,n.a./n.r.,n.a./n.r.
Pentachloroethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trimethylbenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Methylpropylbenzene (sec-butylbenzene),2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",2,0.0782,0.0597,0.0446,0.0378
4-Isopropyltoluene (p-cymene) ,2,0.0423,0.0293,n.a./n.r.,n.a./n.r.
"1,4-Dichlorobenzene-d4 [IS4]",2,20,20,20,20
"1,4-Dichlorobenzene",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Butylbenzene,2,0.0993,0.0605,0.0561,0.0414
"1,2-Dichlorobenzene",2,0.0591,0.0445,0.0397,0.0339
Hexachloroethane,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",2,0.1142,0.0755,0.0598,0.055
"Hexachloro-1,3-butadiene",2,0.0829,0.0572,0.0437,0.0339
Naphthalene,2,0.0641,0.0472,0.0392,0.0332
"1,2,3-Trichlorobenzene",2,0.0908,0.0599,0.0482,0.0426
