Peak,Reporting_Limit,DIH2O-V3,DIH2O-V4,DIH2O-V5,9-12-CKS-1,9-12-CKS-2,9-12-CKS-3 ,9-12-CKS-4,09-12-KDP-1,09-12-KDP-2,09-12-KDP-3,9-14-Cks-1,9-14-CKS-2 ,9-14-Cks-3,9-14-CKS-4,9-14-Cks-5,09-14-Cks-6,09-14-JJ-1,09-14-JJ-2,9-14-CKS-8,231003-Holmes,09-14-JJ-3,09-14-JJ-4,DIH2O-V6
Pentachloroethane,2,0.2245,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trimethylbenzene",2,0.8021,0.1926,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1504
1-Methylpropylbenzene (sec-butylbenzene),2,n.a./n.r.,n.a./n.r.,0.099,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",2,1.1041,0.338,0.178,0.1205,0.0805,0.0578,0.0525,0.0415,0.0508,0.0379,0.0279,0.0258,n.a./n.r.,0.024,0.0192,0.0181,0.0182,0.0183,0.0116,0.0175,0.0135,0.0148,0.1686
4-Isopropyltoluene (p-cymene) ,2,1.2167,0.2828,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1588
"1,4-Dichlorobenzene-d4 [IS4]",2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"1,4-Dichlorobenzene",2,1.0552,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Butylbenzene,2,1.9022,0.5572,0.2338,0.1349,0.1127,0.0761,0.0712,0.0519,0.0412,0.0477,0.0422,0.0453,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.2301
"1,2-Dichlorobenzene",2,0.7992,0.2559,0.1145,0.0817,0.0746,0.0486,0.0417,0.0318,0.0321,0.0298,0.0313,0.0257,0.0204,0.0209,0.021,0.0181,n.a./n.r.,0.0205,0.0228,0.0172,n.a./n.r.,0.0141,0.1487
Hexachloroethane,2,0.4169,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",2,1.7412,0.5785,0.311,0.2126,0.1675,0.1018,0.0885,0.0677,0.0552,0.0557,0.0513,n.a./n.r.,0.0459,0.0374,0.0225,0.0272,0.0347,n.a./n.r.,n.a./n.r.,0.02,0.0187,0.0199,0.2245
"Hexachloro-1,3-butadiene",2,2.2775,0.6351,0.3569,0.214,0.1703,0.0873,0.0857,0.0639,0.0582,0.0462,n.a./n.r.,0.0414,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0163,0.2599
Naphthalene,2,1.3128,0.3516,0.1799,0.1194,0.0948,0.0553,0.042,0.0407,n.a./n.r.,n.a./n.r.,0.0309,0.0215,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.2074
"1,2,3-Trichlorobenzene",2,1.6759,0.4724,0.2661,0.1744,0.1336,0.0858,0.0693,0.0545,0.0474,0.0483,0.0459,0.0346,0.0267,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0244,0.0225,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0163,0.2488
