Peak,Reporting_Limit,07-19-KDP-01,07-19-KDP-02,07-19-KDP-03,07-19-KDP-04,07-19-KDP-05,07-19-KDP-06
"cis-1,2-Dichloroethene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Butanone (MEK),2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl acrylate,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methacrylonitrile,5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromochloromethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Tetrahydrofuran,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.1838
Trichloromethane (chloroform),1,20.2476,14.1158,12.9113,0.2955,40.5608,1.6631
"1,1,1-Trichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Dibromofluoromethane [SS1],n.a.,21.6956,21.413,21.9328,21.5955,23.6984,21.4424
Pentafluorobenzene [IS1],n.a.,20,20,20,20,20,20
1-Chlorobutane (butyl chloride),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Carbon tetrachloride,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Benzene,0.5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,4-Difluorobenzene [IS2]",n.a.,20,20,20,20,20,20
Trichloroethene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,0.0105,n.a./n.r.
"1,2-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Dibromomethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Methyl methacrylate,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromodichloromethane,1,5.7233,5.0157,4.7918,n.a./n.r.,1.098,0.0858
2-Nitropropane,5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"cis-1,3-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Methyl-2-pentanone (MIBK),2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Toluene-d8 [SS2],n.a.,19.8184,19.9266,19.5749,19.9025,20.2557,19.3839
Toluene,0.5,0.0163,0.0147,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"trans-1,3-Dichloropropene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Ethyl methacrylate,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,2-Trichloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Tetrachloroethene,1,0.0118,0.0097,0.0062,n.a./n.r.,0.0076,0.0047
"1,3-Dichloropropane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
2-Hexanone,2,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Dibromochloromethane,1,2.4753,2.3855,2.557,n.a./n.r.,0.4391,n.a./n.r.
"1,2-Dibromoethane (EDB)",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Chlorobenzene-d5 [IS3],n.a.,20,20,20,20,20,20
Chlorobenzene,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,1,1,2-Tetrachloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Ethylbenzene,0.5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
m/p-Xylene,1,0.0361,0.0291,0.026,n.a./n.r.,0.0315,n.a./n.r.
o-Xylene,0.5,0.0144,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Styrene,0.5,0.016,n.a./n.r.,0.0098,n.a./n.r.,n.a./n.r.,n.a./n.r.
Bromoform,1,0.358,0.4008,0.4257,n.a./n.r.,0.1116,n.a./n.r.
Isopropylbenzene (cumene),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Bromo-4-fluorobenzene (BFB) [SS3],n.a.,21.4798,21.3774,21.3326,21.1283,22.0304,21.2472
Bromobenzene,1,0.0177,0.0146,n.a./n.r.,0.0089,n.a./n.r.,n.a./n.r.
"1,1,2,2-Tetrachloroethane",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"trans-1,4-Dichloro-2-butene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichloropropane (TCP)",0.5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Propylbenzene,1,0.0211,n.a./n.r.,n.a./n.r.,0.0098,n.a./n.r.,n.a./n.r.
2-Chlorotoluene,1,0.0177,0.0129,0.0083,0.0076,n.a./n.r.,n.a./n.r.
"1,3,5-Trimethylbenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
4-Chlorotoluene,1,0.0255,n.a./n.r.,0.0121,n.a./n.r.,n.a./n.r.,n.a./n.r.
tert-Butylbenzene,1,0.0107,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Pentachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trimethylbenzene",1,n.a./n.r.,0.0152,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
1-Methylpropylbenzene (sec-butylbenzene),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,3-Dichlorobenzene",1,0.026,0.0227,0.0149,0.0132,0.0139,0.0113
4-Isopropyltoluene (p-cymene),1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,4-Dichlorobenzene-d4 [IS4]",n.a.,20,20,20,20,20,20
"1,4-Dichlorobenzene",1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
n-Butylbenzene,1,0.0297,0.0253,0.0185,0.0135,0.0124,0.012
"1,2-Dichlorobenzene",1,0.0295,0.0259,0.0185,0.0173,0.0157,0.0137
Hexachloroethane,1,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2-Dibromo-3-chloropropane (DBCP)",0.5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
Nitrobenzene,5,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,4-Trichlorobenzene",1,0.0483,0.0363,0.0256,0.0223,0.0226,0.0169
"Hexachloro-1,3-butadiene",1,0.0385,0.0302,0.0183,0.0144,0.0145,0.0109
Naphthalene,0.5,0.0309,0.0228,n.a./n.r.,n.a./n.r.,n.a./n.r.,n.a./n.r.
"1,2,3-Trichlorobenzene",1,0.0386,0.0269,0.0183,0.0184,n.a./n.r.,0.0111
